postal_code,address,building_name,building_function,latitude,longitude
88539,"165 TANJONG PAGAR ROAD, SINGAPORE 088539",AMARA SINGAPORE,Mixed Development,,
99394,"1 LARKHILL ROAD, SINGAPORE 099394",,Hotel,,
178881,"11 CANNING WALK, SINGAPORE 178881",HOTEL FORT CANNING,Hotel,,
428769,"50 EAST COAST ROAD, SINGAPORE 428769",ROXY SQUARE,Retail,,
59804,"60 EU TONG SEN STREET, SINGAPORE 059804",FURAMA CITY CENTRE SINGAPORE,Hotel,,
228211,"10 SCOTTS ROAD, SINGAPORE 228211",GRAND HYATT SINGAPORE,Hotel,,
609917,"1 INTERNATIONAL BUSINESS PARK, SINGAPORE 609917",THE SYNERGY,Office,,
49483,"3 CHURCH STREET, SINGAPORE 049483",SAMSUNG HUB,Office,,
238801,"2 ORCHARD TURN, SINGAPORE 238801",ION ORCHARD,Retail,,
178892,"61 STAMFORD ROAD, SINGAPORE 178892",STAMFORD COURT,Office,,
217564,"10 FARRER PARK STATION ROAD, SINGAPORE 217564",FARRER SQUARE,Hotel,,
59573,"2 MAGAZINE ROAD, SINGAPORE 059573",HOLIDAY INN EXPRESS SINGAPORE CLARKE QUAY,Hotel,,
117611,"31 SCIENCE PARK ROAD, SINGAPORE 117611",THE CRIMSON,Office,,
228209,"6 SCOTTS ROAD, SINGAPORE 228209",SCOTTS SQUARE,Retail,,
68877,"36 ROBINSON ROAD, SINGAPORE 068877",CITY HOUSE,Office,,
258350,"22 ORANGE GROVE ROAD, SINGAPORE 258350",SHANGRI-LA HOTEL,Hotel,,
49513,"65 CHULIA STREET, SINGAPORE 049513",OCBC CENTRE,Office,,
49479,"18 CHURCH STREET, SINGAPORE 049479",OCBC CENTRE SOUTH,Office,,
49514,"63 CHULIA STREET, SINGAPORE 049514",,Office,,
768794,"51 YISHUN CENTRAL 1, SINGAPORE 768794",YISHUN 10 CINEMA COMPLEX,Retail,,
486041,"9 CHANGI BUSINESS PARK VISTA, SINGAPORE 486041",DAS SPEKTRUM@CBP,Office,,
138562,"21 MEDIA CIRCLE, SINGAPORE 138562",INFINITE STUDIOS,Office,,
138577,"1 FUSIONOPOLIS VIEW, SINGAPORE 138577",SANDCRAWLER,Office,,
79906,"79 ANSON ROAD, SINGAPORE 079906",,Office,,
238856,"268 ORCHARD ROAD, SINGAPORE 238856",YEN SAN BUILDING,Retail,,
138588,"9 NORTH BUONA VISTA DRIVE, SINGAPORE 138588",THE METROPOLIS,Office,,
486005,"9 CHANGI BUSINESS PARK CRESCENT, SINGAPORE 486005",STANDARD CHARTERED @ CHANGI 2,Office,,
486028,"7 CHANGI BUSINESS PARK CRESCENT, SINGAPORE 486028",STANDARD CHARTERED @ CHANGI,Office,,
